date,nav,cash,all_cash,trend_signal,vol,prob,close
2015-11-11,1057011.7043753043,5.8207660913467407e-11,False,0.0,46.8341431134,0.804046496709,4636.94
2015-11-12,1052580.0532664314,5.8207660913467407e-11,False,0.0,47.9926457749,0.75516414744,4588.93
2015-11-13,1029590.5510079451,5.8207660913467407e-11,False,0.0,57.63201992,0.728328740264,4502.14
2015-11-16,1043932.5024798953,5.8207660913467407e-11,False,0.0,55.1904308745,0.77441192733,4565.47
2015-11-17,1046792.1150040803,5.8207660913467407e-11,False,0.0,46.0409306051,0.835636556415,4565.82
2015-11-18,1070323.2748309593,5.8207660913467407e-11,False,0.0,58.1129319502,0.887045908351,4653.44
2015-11-19,1070502.537175108,5.8207660913467407e-11,False,0.0,42.4330245395,0.895940259915,4655.35
2015-11-20,1087576.434448055,5.8207660913467407e-11,False,0.0,44.2532284156,0.930379418434,4686.36
2015-11-23,1086683.8976109303,5.8207660913467407e-11,False,0.0,47.9147602127,0.979184047261,4674.79
2015-11-24,1078716.114279235,5.8207660913467407e-11,False,0.0,50.2988483826,0.982314074551,4669.41
2015-11-25,1081922.912227212,5.8207660913467407e-11,False,0.0,39.5170566399,0.968891703558,4672.88
2015-11-27,1084439.3521676089,5.8207660913467407e-11,False,0.0,41.1543852759,0.967488054839,4680.47
2015-11-30,1081553.410278833,5.8207660913467407e-11,False,0.0,45.3559006746,0.939589269758,4664.51
2015-12-01,1111476.265102766,5.8207660913467407e-11,False,0.0,43.6336871517,0.933938865542,4716.16
2015-12-02,1104658.8009905634,5.8207660913467407e-11,False,0.0,50.0651767987,0.932224172124,4686.22
2015-12-03,1091078.9241056223,5.8207660913467407e-11,False,0.0,66.442167035,0.851787088088,4606.75
2015-12-04,1116747.0953305787,5.8207660913467407e-11,False,0.0,63.7436267385,0.900322442257,4716.12
2015-12-07,1107490.8047569636,5.8207660913467407e-11,False,0.0,47.1492134238,0.871980688175,4693.62
2015-12-08,1117273.2586501925,5.8207660913467407e-11,False,0.0,51.0498521658,0.863385501025,4694.77
2015-12-09,1096222.1815058021,5.8207660913467407e-11,False,0.0,60.5211523186,0.825616051164,4622.14
2015-12-10,1094759.1601474392,5.8207660913467407e-11,False,0.0,48.24499001,0.84731551859,4643.05
