date,open,high,low,close,ma5,ma10,ma20,ma50,ma200,ma1000,mva_band,std200,std50,cci,s_pct_k,s_pct_d,stoch,wr,tr1,tr2,tr3,month_change,tr,ztr,vol,fevol,fesignal,drtns,cc_delta,cc_pct,oc_delta,oc_pct,co_delta,co_pct,ret_daily,ret_today,ret_open,rtnvol,cr,mom,atr,3atr,ir,avg_tr,max_ir_window,min_ir_window,max_cplunger,min_cplunger,prob,macd,dx,stochStrength,cciStrength,macd_signal,macd_dur,macd_last_dur,is_churning
2015-07-01,4433.79,4445.9,4409.42,4429.23,4440.828,4486.679,4473.7825,,,,,,,-80.7860943774,25.1733340829,31.4726821452,31.4726821452,-71.8019630172,36.48,0.0,0.0,1.0,50.0844578753,,,,False,0.00738498348784,32.47,0.00738498348784,37.03,0.00842211082706,-4.56,-0.00102846548889,0.00738498348784,-0.00102846548889,0.00842211082706,0.00620671784073,-0.0106074685121,-1.70903024502,50.0844578753,150.253373626,0.114118950632,,4548.74,4379.75,,,0.545135508742,-12.1350385478,-26.4874028687,-1,1,-1,3,5,0
2015-07-02,4440.17,4445.83,4417.48,4433.39,4424.704,4476.833,4471.1005,,,,,,,-67.1989365749,27.8136070122,29.6431445787,29.6431445787,-69.5461200586,28.35,16.6,11.75,0.0,47.1865301586,,,,False,0.000939215168325,4.16,0.000939215168325,10.94,0.00246995527439,-6.78,-0.00152696856201,0.000939215168325,-0.00152696856201,0.00246995527439,0.00598380667587,-0.00243238434924,-0.406494474337,47.1865301586,141.559590476,0.269861980695,,4548.74,4379.86,,,0.605655359013,-11.1604226396,-26.4874028687,-1,1,-1,4,5,0
2015-07-06,4394.44,4444.41,4394.44,4418.66,4411.58,4467.357,4468.174,,,,,,,-79.8409158407,25.1399253541,27.3915349664,27.3915349664,-77.5337563039,49.97,11.02,38.95,0.0,47.5576594708,,,,False,-0.00332251392275,-14.73,-0.00332251392275,-38.95,-0.00878560198855,24.22,0.005511509999,-0.00332251392275,0.005511509999,-0.00878560198855,0.00601269526547,-0.00356163992889,-0.592353307734,47.5576594708,142.672978412,0.102578953356,,4548.74,4379.86,,,0.540588607426,-10.9071583128,-31.3119158655,-1,0,-1,5,5,0
2015-07-07,4422.75,4434.91,4344.15,4429.06,4421.42,4455.859,4468.0515,4475.5558,,,,,47.1672417494,-98.2092081288,32.0904003983,29.7409676824,29.7409676824,-60.9591245575,90.76,16.25,74.51,0.0,53.3179715413,,,,False,0.0023536547279,10.4,0.0023536547279,4.09,0.000925619984339,6.31,0.00142671414844,0.0023536547279,0.00142671414844,0.000925619984339,0.00548701476693,0.00907909246133,1.65465063372,53.3179715413,159.953914624,-0.116200324613,,4548.74,4379.86,,,0.454045039511,-9.49070220487,-40.4920778584,0,-1,-1,6,5,0
2015-07-08,4392.51,4403.13,4346.42,4351.58,4412.384,4436.143,4464.25,4472.0866,,,,,49.7611092144,-140.464884736,17.7533247106,23.7471461965,23.7471461965,-96.5837509771,56.71,25.93,82.64,0.0,57.2275753358,,,,False,-0.017493553937,-77.48,-0.017493553937,-36.55,-0.00825231538972,-40.93,-0.0093181347339,-0.017493553937,-0.0093181347339,-0.00825231538972,0.00694050435725,-0.00770000234448,-1.10942979763,57.2275753358,171.682726007,-0.366417741336,,4548.74,4351.58,,,0.358016902371,-13.0060980594,-40.4920778584,0,-1,-1,7,5,0
2015-07-09,4410.27,4414.43,4351.51,4352.03,4396.944,4418.886,4457.5785,4468.8218,,,,,52.166935094,-116.103767404,10.6882398991,17.2176930478,17.2176930478,-96.3768449124,62.92,62.85,0.0699999999997,0.0,57.986565291,,,,False,0.000103410715188,0.45,0.000103410715188,58.69,0.0134870552765,-58.24,-0.0132055407039,0.000103410715188,-0.0132055407039,0.0134870552765,0.00607948995313,-0.0203966305807,-3.35499042486,57.986565291,173.959695873,-0.28506656615,,4548.74,4351.58,,,0.388550781635,-14.4254462487,-35.7636304896,-1,0,-1,8,5,0
2015-07-10,4405.99,4434.11,4394.01,4420.15,4394.296,4409.5,4454.1625,4467.4618,,,,,52.5378292355,-53.0305346793,22.8161876308,20.0169403393,20.0169403393,-65.0558646375,40.1,82.08,41.98,0.0,61.1990232522,,,,False,0.015652465631,68.12,0.015652465631,53.96,0.0123988115891,14.16,0.00321380665866,0.015652465631,0.00321380665866,0.0123988115891,0.0070544147952,-0.00728165577372,-1.032212591,61.1990232522,183.597069757,-0.00151206336713,,4548.74,4351.58,,,0.499400628272,-10.1052079709,-27.7024737111,0,1,-1,9,5,0
2015-07-13,4457.76,4498.74,4456.54,4494.47,4409.458,4410.519,4456.1965,4469.0662,,,,,52.102762232,33.821011347,45.966004524,32.9914724316,32.9914724316,-30.8841785829,42.2,78.59,36.39,0.0,63.5178201519,,,,False,0.0168139090302,74.32,0.0168139090302,37.61,0.0085087610149,36.71,0.00823507770719,0.0168139090302,0.00823507770719,0.0085087610149,0.00774147358967,0.0161077535451,2.08070897078,63.5178201519,190.553460456,0.023671495281,,4548.74,4351.58,,,0.509382326174,-1.99528079028,-5.53972475792,1,1,-1,10,5,0
2015-07-14,4503.2,4537.21,4500.66,4523.47,4428.34,4424.88,4460.724,4469.9544,,,,,52.6522372399,73.6335662219,64.2078861647,48.5996792982,48.5996792982,-17.5502321946,36.55,42.74,6.19,0.0,60.7474441317,,,,False,0.00645237369479,29.0,0.00645237369479,8.73,0.00194238697777,20.27,0.00450124356014,0.00645237369479,0.00450124356014,0.00194238697777,0.00771242373791,0.0274787196584,3.56291622351,60.7474441317,182.242332395,0.146620177522,,4548.74,4351.58,,,0.557906436796,5.17714531655,5.02605401742,1,1,1,1,10,0
2015-07-15,4531.32,4547.18,4517.4,4528.36,4463.696,4438.04,4464.347,4470.8694,,,,,53.2705522056,77.950719991,77.4691600454,63.0344196718,63.0344196718,-9.26956607398,29.78,23.71,6.07,0.0,56.6184515808,,,,False,0.00108102850245,4.89,0.00108102850245,7.85,0.00173539340374,-2.96,-0.000653231288013,0.00108102850245,-0.000653231288013,0.00173539340374,0.0076586865504,0.0232848044039,3.0403130159,56.6184515808,169.855354742,0.0897419410753,,4548.74,4351.58,,,0.535524205142,9.83552984833,7.60759765714,1,1,1,2,10,0
